# ----------------------------------------
# Raw data
# Pages
# 20190103-20210103
# ----------------------------------------

Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
2/22/19,93
2/23/19,103
2/24/19,209
2/25/19,150
2/26/19,109
2/27/19,95
2/28/19,88
3/1/19,107
3/2/19,107
3/3/19,196
3/4/19,101
3/5/19,106
3/6/19,106
3/7/19,109
3/8/19,100
3/9/19,116
3/10/19,97
3/11/19,99
3/12/19,92
3/13/19,136
3/14/19,120
3/15/19,71
3/16/19,74
3/17/19,81
3/18/19,79
3/19/19,73
3/20/19,63
3/21/19,54
3/22/19,45
3/23/19,56
3/24/19,87
3/25/19,68
3/26/19,65
3/27/19,57
3/28/19,73
3/29/19,50
3/30/19,53
3/31/19,44
4/1/19,49
4/2/19,53
4/3/19,54
4/4/19,50
4/5/19,36
4/6/19,57
4/7/19,59
4/8/19,59
4/9/19,63
4/10/19,49
4/11/19,63
4/12/19,47
4/13/19,47
4/14/19,62
4/15/19,68
4/16/19,55
4/17/19,54
4/18/19,32
4/19/19,41
4/20/19,68
4/21/19,65
4/22/19,67
4/23/19,57
4/24/19,86
4/25/19,52
4/26/19,54
4/27/19,59
4/28/19,55
4/29/19,58
4/30/19,45
5/1/19,47
5/2/19,60
5/3/19,51
5/4/19,46
5/5/19,56
5/6/19,64
5/7/19,35
5/8/19,45
5/9/19,32
5/10/19,45
5/11/19,46
5/12/19,58
5/13/19,66
5/14/19,76
5/15/19,40
5/16/19,54
5/17/19,62
5/18/19,40
5/19/19,75
5/20/19,55
5/21/19,43
5/22/19,50
5/23/19,56
5/24/19,49
5/25/19,55
5/26/19,48
5/27/19,55
5/28/19,55
5/29/19,44
5/30/19,49
5/31/19,79
6/1/19,49
6/2/19,66
6/3/19,52
6/4/19,69
6/5/19,87
6/6/19,77
6/7/19,105
6/8/19,97
6/9/19,83
6/10/19,88
6/11/19,76
6/12/19,79
6/13/19,97
6/14/19,66
6/15/19,68
6/16/19,127
6/17/19,109
6/18/19,91
6/19/19,121
6/20/19,146
6/21/19,141
6/22/19,112
6/23/19,144
6/24/19,133
6/25/19,87
6/26/19,90
6/27/19,118
6/28/19,86
6/29/19,86
6/30/19,114
7/1/19,106
7/2/19,125
7/3/19,129
7/4/19,122
7/5/19,142
7/6/19,136
7/7/19,121
7/8/19,152
7/9/19,133
7/10/19,133
7/11/19,149
7/12/19,129
7/13/19,106
7/14/19,125
7/15/19,135
7/16/19,114
7/17/19,154
7/18/19,152
7/19/19,141
7/20/19,110
7/21/19,112
7/22/19,129
7/23/19,127
7/24/19,116
7/25/19,122
7/26/19,143
7/27/19,124
7/28/19,182
7/29/19,162
7/30/19,134
7/31/19,128
8/1/19,144
8/2/19,116
8/3/19,92
8/4/19,125
8/5/19,176
8/6/19,214
8/7/19,174
8/8/19,172
8/9/19,132
8/10/19,116
8/11/19,137
8/12/19,149
8/13/19,146
8/14/19,117
8/15/19,116
8/16/19,164
8/17/19,117
8/18/19,126
8/19/19,114
8/20/19,130
8/21/19,122
8/22/19,127
8/23/19,153
8/24/19,128
8/25/19,148
8/26/19,112
8/27/19,102
8/28/19,138
8/29/19,135
8/30/19,126
8/31/19,145
9/1/19,145
9/2/19,135
9/3/19,116
9/4/19,105
9/5/19,126
9/6/19,125
9/7/19,176
9/8/19,172
9/9/19,99
9/10/19,159
9/11/19,113
9/12/19,119
9/13/19,141
9/14/19,136
9/15/19,162
9/16/19,159
9/17/19,124
9/18/19,159
9/19/19,142
9/20/19,216
9/21/19,154
9/22/19,166
9/23/19,163
9/24/19,184
9/25/19,122
9/26/19,99
9/27/19,72
9/28/19,72
9/29/19,75
9/30/19,57
10/1/19,65
10/2/19,48
10/3/19,48
10/4/19,42
10/5/19,43
10/6/19,61
10/7/19,57
10/8/19,100
10/9/19,94
10/10/19,113
10/11/19,83
10/12/19,57
10/13/19,94
10/14/19,84
10/15/19,77
10/16/19,122
10/17/19,83
10/18/19,128
10/19/19,77
10/20/19,92
10/21/19,104
10/22/19,110
10/23/19,108
10/24/19,62
10/25/19,70
10/26/19,69
10/27/19,57
10/28/19,64
10/29/19,65
10/30/19,73
10/31/19,77
11/1/19,67
11/2/19,92
11/3/19,91
11/4/19,70
11/5/19,71
11/6/19,86
11/7/19,57
11/8/19,50
11/9/19,52
11/10/19,87
11/11/19,112
11/12/19,107
11/13/19,52
11/14/19,57
11/15/19,59
11/16/19,50
11/17/19,77
11/18/19,52
11/19/19,119
11/20/19,67
11/21/19,72
11/22/19,91
11/23/19,91
11/24/19,77
11/25/19,107
11/26/19,92
11/27/19,90
11/28/19,58
11/29/19,77
11/30/19,56
12/1/19,67
12/2/19,99
12/3/19,69
12/4/19,74
12/5/19,71
12/6/19,100
12/7/19,59
12/8/19,127
12/9/19,131
12/10/19,63
12/11/19,61
12/12/19,77
12/13/19,72
12/14/19,55
12/15/19,116
12/16/19,69
12/17/19,48
12/18/19,60
12/19/19,64
12/20/19,68
12/21/19,75
12/22/19,61
12/23/19,57
12/24/19,38
12/25/19,121
12/26/19,85
12/27/19,36
12/28/19,60
12/29/19,110
12/30/19,74
12/31/19,58
1/1/20,43
1/2/20,47
1/3/20,48
1/4/20,86
1/5/20,85
1/6/20,66
1/7/20,54
1/8/20,57
1/9/20,55
1/10/20,48
1/11/20,65
1/12/20,56
1/13/20,53
1/14/20,93
1/15/20,133
1/16/20,166
1/17/20,160
1/18/20,136
1/19/20,174
1/20/20,154
1/21/20,156
1/22/20,201
1/23/20,162
1/24/20,149
1/25/20,142
1/26/20,185
1/27/20,146
1/28/20,156
1/29/20,163
1/30/20,128
1/31/20,120
2/1/20,109
2/2/20,138
2/3/20,114
2/4/20,143
2/5/20,158
2/6/20,153
2/7/20,136
2/8/20,130
2/9/20,128
2/10/20,148
2/11/20,156
2/12/20,202
2/13/20,211
2/14/20,136
2/15/20,175
2/16/20,217
2/17/20,166
2/18/20,181
2/19/20,153
2/20/20,147
2/21/20,133
2/22/20,156
2/23/20,213
2/24/20,148
2/25/20,174
2/26/20,171
2/27/20,167
2/28/20,146
2/29/20,159
3/1/20,202
3/2/20,139
3/3/20,147
3/4/20,166
3/5/20,167
3/6/20,120
3/7/20,154
3/8/20,140
3/9/20,133
3/10/20,184
3/11/20,187
3/12/20,149
3/13/20,162
3/14/20,246
3/15/20,206
3/16/20,152
3/17/20,175
3/18/20,180
3/19/20,145
3/20/20,153
3/21/20,159
3/22/20,109
3/23/20,110
3/24/20,100
3/25/20,104
3/26/20,135
3/27/20,103
3/28/20,97
3/29/20,150
3/30/20,99
3/31/20,126
4/1/20,117
4/2/20,127
4/3/20,138
4/4/20,125
4/5/20,166
4/6/20,127
4/7/20,287
4/8/20,111
4/9/20,123
4/10/20,194
4/11/20,174
4/12/20,179
4/13/20,139
4/14/20,139
4/15/20,118
4/16/20,112
4/17/20,126
4/18/20,149
4/19/20,170
4/20/20,148
4/21/20,144
4/22/20,131
4/23/20,168
4/24/20,145
4/25/20,123
4/26/20,148
4/27/20,140
4/28/20,140
4/29/20,117
4/30/20,135
5/1/20,167
5/2/20,140
5/3/20,171
5/4/20,132
5/5/20,162
5/6/20,158
5/7/20,136
5/8/20,151
5/9/20,128
5/10/20,162
5/11/20,139
5/12/20,127
5/13/20,171
5/14/20,124
5/15/20,138
5/16/20,119
5/17/20,162
5/18/20,129
5/19/20,126
5/20/20,107
5/21/20,121
5/22/20,104
5/23/20,160
5/24/20,138
5/25/20,120
5/26/20,131
5/27/20,134
5/28/20,101
5/29/20,120
5/30/20,80
5/31/20,156
6/1/20,135
6/2/20,197
6/3/20,126
6/4/20,122
6/5/20,183
6/6/20,127
6/7/20,189
6/8/20,144
6/9/20,125
6/10/20,135
6/11/20,165
6/12/20,137
6/13/20,109
6/14/20,157
6/15/20,129
6/16/20,116
6/17/20,116
6/18/20,114
6/19/20,124
6/20/20,136
6/21/20,134
6/22/20,118
6/23/20,90
6/24/20,100
6/25/20,166
6/26/20,133
6/27/20,103
6/28/20,124
6/29/20,126
6/30/20,98
7/1/20,90
7/2/20,88
7/3/20,104
7/4/20,159
7/5/20,123
7/6/20,119
7/7/20,89
7/8/20,94
7/9/20,105
7/10/20,85
7/11/20,123
7/12/20,132
7/13/20,92
7/14/20,99
7/15/20,115
7/16/20,94
7/17/20,141
7/18/20,115
7/19/20,139
7/20/20,104
7/21/20,107
7/22/20,105
7/23/20,104
7/24/20,116
7/25/20,107
7/26/20,150
7/27/20,93
7/28/20,112
7/29/20,123
7/30/20,119
7/31/20,99
8/1/20,105
8/2/20,114
8/3/20,99
8/4/20,116
8/5/20,115
8/6/20,97
8/7/20,82
8/8/20,105
8/9/20,124
8/10/20,113
8/11/20,133
8/12/20,158
8/13/20,124
8/14/20,129
8/15/20,96
8/16/20,138
8/17/20,138
8/18/20,111
8/19/20,140
8/20/20,141
8/21/20,106
8/22/20,96
8/23/20,183
8/24/20,139
8/25/20,107
8/26/20,142
8/27/20,100
8/28/20,145
8/29/20,144
8/30/20,194
8/31/20,154
9/1/20,121
9/2/20,160
9/3/20,156
9/4/20,139
9/5/20,132
9/6/20,146
9/7/20,147
9/8/20,153
9/9/20,155
9/10/20,153
9/11/20,144
9/12/20,135
9/13/20,186
9/14/20,143
9/15/20,167
9/16/20,160
9/17/20,142
9/18/20,130
9/19/20,148
9/20/20,186
9/21/20,148
9/22/20,135
9/23/20,150
9/24/20,127
9/25/20,136
9/26/20,157
9/27/20,191
9/28/20,148
9/29/20,169
9/30/20,166
10/1/20,169
10/2/20,118
10/3/20,139
10/4/20,148
10/5/20,158
10/6/20,160
10/7/20,155
10/8/20,181
10/9/20,272
10/10/20,191
10/11/20,196
10/12/20,181
10/13/20,177
10/14/20,169
10/15/20,115
10/16/20,116
10/17/20,135
10/18/20,180
10/19/20,134
10/20/20,110
10/21/20,121
10/22/20,170
10/23/20,183
10/24/20,112
10/25/20,127
10/26/20,138
10/27/20,138
10/28/20,111
10/29/20,128
10/30/20,121
10/31/20,127
11/1/20,125
11/2/20,146
11/3/20,149
11/4/20,118
11/5/20,150
11/6/20,126
11/7/20,109
11/8/20,141
11/9/20,118
11/10/20,123
11/11/20,110
11/12/20,120
11/13/20,97
11/14/20,76
11/15/20,137
11/16/20,142
11/17/20,127
11/18/20,145
11/19/20,143
11/20/20,153
11/21/20,156
11/22/20,162
11/23/20,153
11/24/20,113
11/25/20,130
11/26/20,160
11/27/20,152
11/28/20,152
11/29/20,188
11/30/20,116
12/1/20,137
12/2/20,150
12/3/20,129
12/4/20,112
12/5/20,115
12/6/20,135
12/7/20,123
12/8/20,116
12/9/20,118
12/10/20,117
12/11/20,256
12/12/20,119
12/13/20,122
12/14/20,116
12/15/20,101
12/16/20,113
12/17/20,114
12/18/20,112
12/19/20,138
12/20/20,117
12/21/20,169
12/22/20,106
12/23/20,87
12/24/20,114
12/25/20,108
12/26/20,120
12/27/20,114
12/28/20,102
12/29/20,84
12/30/20,94
12/31/20,91
1/1/21,93
1/2/21,132
1/3/21,108
,"84,836"
